[dotenv@17.2.3] injecting env (20) from .env.local -- tip: 🔑 add access controls to secrets: https://dotenvx.com/ops
code;name;category;financial_account_code;product_type;scope;is_active;default_price;currency
PROD-889;Additional Design;Other;103.0;service;GLOBAL;true;65;EUR
PROD-890;Additional Manufacture;Other;104.0;service;GLOBAL;true;82.5;EUR
PROD-892;Annual Subscription to DSD Online Content;Subscription;;service;GLOBAL;true;375;EUR
PROD-886;Cancellation fee  - DSD Provider Washington DC June 2025;Other;;service;GLOBAL;true;800;EUR
PROD-160;Case Acceptance Mastery Miami April 2026;Other;;service;GLOBAL;true;1650;EUR
PROD-476;Case Acceptance Mastery Miami April 2026 Staff;Other;;service;GLOBAL;true;1900;EUR
PROD-868;Consultancy - Gold Bundle  - DSD Consultancy;Other;;service;GLOBAL;true;5600;EUR
PROD-151;Consultancy DSD Interdisciplinary - Consultancy DSD Shell Design;Other;;service;GLOBAL;true;0;EUR
PROD-475;Designing Smiles Hands On Madrid May 2026;Other;;service;GLOBAL;true;2660;EUR
PROD-876;Designing Smiles Hands On with Christian Coachman Madrid May 2026;Other;;service;GLOBAL;true;2660;EUR
PROD-335;Designing Smiles Hands On with Christian Coachman Madrid November 2025;Other;;service;GLOBAL;true;3700;EUR
PROD-870;Designing Smiles Hands On with Christian Coachman Madrid October 2026;Other;;service;GLOBAL;true;3200;EUR
PROD-873;Designing Smiles Hands On with Christian Coachman São Paulo August 2025;Other;;service;GLOBAL;true;4200;EUR
PROD-477;Designing Smiles On Demand;Other;;service;GLOBAL;true;1000;EUR
PROD-852;Designing Smiles with Christian Coachman Livestream October 2025;Other;;service;GLOBAL;true;2000;EUR
PROD-333;Direct Restoration Design;Other;;service;GLOBAL;true;410;EUR
PROD-468;Direct Restoration Manufacture;Other;;service;GLOBAL;true;290;EUR
PROD-334;DSD Additional Design;Other;;service;GLOBAL;true;90;EUR
PROD-850;DSD Additional Manufacture;Other;;service;GLOBAL;true;70;EUR
PROD-191;DSD Admin - ANGEL TEST test TEST TEST;Other;;service;GLOBAL;true;0;EUR
PROD-857;DSD Aligners November 2025;Other;;service;GLOBAL;true;1700;EUR
PROD-332;DSD Anterior Deprogrammer Design;Other;;service;GLOBAL;true;95.06;EUR
PROD-305;DSD Anterior Deprogrammer Manufacture;Other;;service;GLOBAL;true;190;EUR
PROD-486;DSD Bite Splint Design;Other;;service;GLOBAL;true;176.25;EUR
PROD-336;DSD Bite Splint Manufacture;Other;;service;GLOBAL;true;161.25;EUR
PROD-158;DSD Clic Guide Design;Other;;service;GLOBAL;true;800;EUR
PROD-152;DSD Clic Guide Manufacture;Other;;service;GLOBAL;true;465;EUR
PROD-915;DSD Clinic Exclusive Services - Growth Hub Onboarding  - DSD Growth Hub Onboarding Fee;Clinic Fee;;service;GLOBAL;true;9680;EUR
PROD-916;DSD Clinic Exclusive Services - Smile to Success Workshop  - Smile to Success Workshop;Clinic Fee;;service;GLOBAL;true;0;EUR
PROD-480;DSD Clinic Services  - Monthly Fee -  April 2025;Clinic Fee;;service;GLOBAL;true;4000;EUR
PROD-479;DSD Clinic Services  - Monthly Fee -  August 2025;Clinic Fee;;service;GLOBAL;true;3000;EUR
PROD-484;DSD Clinic Services  - Monthly Fee -  December 2025;Clinic Fee;;service;GLOBAL;true;2000;EUR
PROD-905;DSD Clinic Services  - Monthly Fee -  Enero 2025;Clinic Fee;;service;GLOBAL;true;2662;EUR
PROD-499;DSD Clinic Services  - Monthly Fee -  February 2025;Clinic Fee;;service;GLOBAL;true;4000;EUR
PROD-500;DSD Clinic Services  - Monthly Fee -  January 2025;Clinic Fee;;service;GLOBAL;true;3500;EUR
PROD-337;DSD Clinic Services  - Monthly Fee -  January 2026;Clinic Fee;;service;GLOBAL;true;4500;EUR
PROD-496;DSD Clinic Services  - Monthly Fee -  July 2025;Clinic Fee;;service;GLOBAL;true;2000;EUR
PROD-489;DSD Clinic Services  - Monthly Fee -  June 2025;Clinic Fee;;service;GLOBAL;true;3000;EUR
PROD-493;DSD Clinic Services  - Monthly Fee -  March 2025;Clinic Fee;;service;GLOBAL;true;3500;EUR
PROD-492;DSD Clinic Services  - Monthly Fee -  May 2025;Clinic Fee;;service;GLOBAL;true;4000;EUR
PROD-750;DSD Clinic Services  - Monthly Fee -  November 2025;Clinic Fee;;service;GLOBAL;true;3500;EUR
PROD-749;DSD Clinic Services  - Monthly Fee -  October 2025;Clinic Fee;;service;GLOBAL;true;3500;EUR
PROD-758;DSD Clinic Services  - Monthly Fee -  September 2025;Clinic Fee;;service;GLOBAL;true;5500;EUR
PROD-759;DSD Clinical Course Education Sponsorship  - Seville Oct 23-25, 2025;Clinic Fee;;service;GLOBAL;true;6000;EUR
PROD-760;DSD Clinical Seville March 2025;Clinic Fee;;service;GLOBAL;true;4110;EUR
PROD-321;DSD Clinical Seville October 2025;Clinic Fee;;service;GLOBAL;true;5137.5;EUR
PROD-964;DSD Clinical Seville October 2025  - Companion extra expenses;Clinic Fee;;service;GLOBAL;true;200;EUR
PROD-965;DSD Clinical Seville October 2025: Doctor Standard;Clinic Fee;;service;GLOBAL;true;5480;EUR
PROD-967;DSD Clinical Seville October 2026;Clinic Fee;;service;GLOBAL;true;6000;EUR
PROD-969;DSD Clinics Contract Management Fee 2025  - Abenaa Ayeh - Somerset Dental on James in Calgary;Clinic Fee;;service;GLOBAL;true;1100;EUR
PROD-970;DSD Clinics Contract Management Fee 2025  - Adrian Acosta;Clinic Fee;;service;GLOBAL;true;1100;EUR
PROD-971;DSD Clinics Contract Management Fee 2025  - Ahmed Hamada - Village Dental of New England;Clinic Fee;;service;GLOBAL;true;1100;EUR
